| Source IP       | Source Port | Destination IP  | Destination Port | Protocol  | TTL | Length | Packet Type  | TCP Flags   |
| 57.144.149.32   | 443         | 192.168.163.131 | 33028            | TCP       | 128 | 79     | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 33028       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 142.250.181.110 | 443         | 192.168.163.131 | 60632            | TCP       | 128 | 40     | HTTPS        | FIN,PSH,ACK |
| 192.168.163.131 | 60632       | 142.250.181.110 | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 40523       | 172.217.17.46   | 33482            | UDP       | 17  | 60     | UDP          |             |
| 192.168.163.131 | 52256       | 172.217.17.46   | 33483            | UDP       | 17  | 60     | UDP          |             |
| 192.168.163.131 | 35292       | 172.217.17.46   | 33484            | UDP       | 17  | 60     | UDP          |             |
| 192.168.163.131 | 59701       | 172.217.17.46   | 33485            | UDP       | 18  | 60     | UDP          |             |
| 192.168.163.131 | 40923       | 172.217.17.46   | 33486            | UDP       | 18  | 60     | UDP          |             |
| 192.168.163.131 | 41313       | 172.217.17.46   | 33487            | UDP       | 18  | 60     | UDP          |             |
| 192.168.163.131 | 32944       | 172.217.17.46   | 33488            | UDP       | 19  | 60     | UDP          |             |
| 192.168.163.131 | 57059       | 172.217.17.46   | 33489            | UDP       | 19  | 60     | UDP          |             |
| 192.168.163.131 | 34782       | 172.217.17.46   | 33490            | UDP       | 19  | 60     | UDP          |             |
| 192.168.163.131 | 59940       | 172.217.17.46   | 33491            | UDP       | 20  | 60     | UDP          |             |
| 192.168.163.131 | 34611       | 172.217.17.46   | 33492            | UDP       | 20  | 60     | UDP          |             |
| 192.168.163.131 | 48571       | 172.217.17.46   | 33493            | UDP       | 20  | 60     | UDP          |             |
| 192.168.163.131 | 60621       | 172.217.17.46   | 33494            | UDP       | 21  | 60     | UDP          |             |
| 192.168.163.131 | 44574       | 172.217.17.46   | 33495            | UDP       | 21  | 60     | UDP          |             |
| 192.168.163.131 | 46317       | 172.217.17.46   | 33496            | UDP       | 21  | 60     | UDP          |             |
| 192.168.163.131 | 51064       | 172.217.17.46   | 33497            | UDP       | 22  | 60     | UDP          |             |
| 192.168.163.131 | 57552       | 157.240.227.35  | 443              | TCP       | 64  | 79     | HTTPS        | PSH,ACK     |
| 157.240.227.35  | 443         | 192.168.163.131 | 57552            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 57552       | 157.240.227.35  | 443              | TCP       | 64  | 64     | HTTPS        | PSH,ACK     |
| 157.240.227.35  | 443         | 192.168.163.131 | 57552            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 57552       | 157.240.227.35  | 443              | TCP       | 64  | 40     | HTTPS        | FIN,ACK     |
| 157.240.227.35  | 443         | 192.168.163.131 | 57552            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 157.240.227.35  | 443         | 192.168.163.131 | 57552            | TCP       | 128 | 103    | HTTPS        | PSH,ACK     |
| 157.240.227.35  | 443         | 192.168.163.131 | 57552            | TCP       | 128 | 40     | HTTPS        | FIN,PSH,ACK |
| 192.168.163.131 | 57552       | 157.240.227.35  | 443              | TCP       | 64  | 40     | HTTPS        | RST         |
| 192.168.163.131 | 57552       | 157.240.227.35  | 443              | TCP       | 64  | 40     | HTTPS        | RST         |
| 192.168.163.131 | 60824       | 172.217.17.46   | 33498            | UDP       | 22  | 60     | UDP          |             |
| 192.168.163.131 | 42951       | 172.217.17.46   | 33499            | UDP       | 22  | 60     | UDP          |             |
| 192.168.163.131 | 52296       | 172.217.17.46   | 33500            | UDP       | 23  | 60     | UDP          |             |
| 192.168.163.131 | 60725       | 172.217.17.46   | 33501            | UDP       | 23  | 60     | UDP          |             |
| 192.168.163.131 | 37811       | 172.217.17.46   | 33502            | UDP       | 23  | 60     | UDP          |             |
